9/12/2004,FCCC,Vs,CSUCC,40,Overs,,,,
Ground,FCCC,,,,,,,,
Toss,FCCC,,,,,,,,
Result,FCCC won by 16 runs,,,,,,,,


FCCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Nadeem,34,LBW,Yogish,,21,1,2,,
Dipal,36,LBW,Kishore,,40,3,0,,
Rajesh,18,Bowled,Vaibhav,,24,1,,,
Ravi,0,LBW,Vaibhav,,3,,,,
Gopal,23,caught,Kishore,Ajay,32,4,,,
Ganesh,4,caught,Kishore,Satish,6,,,,
Riley,12,caught,Aravind,Kishore,33,1,,,
Pavan,1,Bowled,Vaibhav,,5,,,,,,,,,
Anant,0,LBW,Vaibhav,,3,,,,,,,,,
Nirmal,9,caught,Jai,Arvind,20,,,,,,,,,
Brendan,0,Not Out,,,3,,,,,,,,,
Totals:,5,Wides,0,Noballs,3,Byes,5,Leg byes,150,Total,10,Wickets,36.2,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
54,79,83,111,119,126,127,128,149,150,,,,,

CSUCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Vaibhav,8,0,1,29,4,,,,,,,,,
Kishore,8,0,0,38,3,,,,,,,,,
Aravind,7,0,0,19,1,,,,,,,,,
Yogish,8,0,1,31,1,,,,,,,,,
Jay,5,2,0,25,1,,,,

CSUCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Aravind,38,Bowled,Dipal,,,,,,
Ajay,5,Run Out,,Dipal,,,,,
Vaibhav,18,caught,Mike R,Ravi,,,,,
Kishore,1,Run Out,,Pavan/Ganesh,,,,,
Yogish,10,caught,Rajesh,Nadeem,,,,,
Saravana,12,Bowled,Dipal,,,,,,
Saravana,15,Run Out,,Pavan/Dipal,,,,,
Ninaad,1,Run Out,,Ravi/Ganesh,,,,,
Jai,10,Run Out,,Nirmal,,,,,
Snehal,2,Bowled,Pavan,,,,,,
Satish,1,Not Out,,,,,,,
Totals:,11,Wides,2,Noballs,0,Byes,4,Leg byes,134,Total,10,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
39,56,57,77,81,112,113,119,124,132,,,,,

FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,7,0,0,30,0,2,1,,,,,,,
Dipal,8,0,1,22,2,2,0,,,,,,,
Pavan,8,0,1,27,1,2,1,,,,,,,
Mike R,8,0,3,20,1,0,0,,,,,,,
Rajesh,8,0,0,24,1,1,0,,,,,,,
Ravi,1,0,0,7,0,4,0,,,,,,,
