7/17/2004,FCCC,Vs,LCC,40,Overs,,,,
Ground,Boltz Field,,,,,,,,
Toss,FCCC,,,,,,,,
Result,FCCC won by 50 runs,,,,,,,,

FCCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Nadeem,20,Caught,AJ,Asam,28,1,1,,
Nirmal,6,LBW,AJ,,12,,,,
Ganesh,6,LBW,AJ,,9,,,,
Dipal,17,Caught,Dharma,Asam,23,2,,,
Gopal,71,Caught,Dharma,Ajay,81,5,3,,
Mike Riley,2,Run Out,,,2,,,,
Mandar,0,Stumped,Dharma,Prakash,2,,,,
Ravi,16,Caught,Vamshi,Dharma,35,1,,,
Pavan,6,Caught,Vamshi,Dharma,6,,,,,,,,,
Rajesh,18,Caught,Dharma,Prakash,17,4,,,,,,,,
Anant,1,Not Out,,,4,,,,,,,,,

Totals:,22,Wides,2,Noballs,0,Byes,4,Leg byes,191,Total,10,Wickets,37.2,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
18,30,50,66,71,79,124,138,177,191,,,,,

LCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Imran,8,0,0,46,0,5,2,,,,,,,
AJ,6,0,0,25,3,2,0,,,,,,,
Mujtaba,6,0,0,35,0,4,0,,,,,,,
Ajay,8,0,1,28,0,4,0,,,,,,,
Dharma,6,2,0,21,4,3,0,,
Vamshi,3,0,0,32,2,4,0,,

LCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Dharma,2,caught,Nadeem,Ganesh,,,,,
Prakash,30,caught,Riley,Dipal,,3,1,,
Asam,18,LBW,Dipal,,,1,1,,
AJ,0,caught,Nadeem,Ganesh,,,,,
Imran,16,caught,Pavan,Ganesh,,1,,,
Vamshi,2,Bowled,Dipal,,,,,,
Randika,11,caught,Pavan,Gopal,,,,,
Mujtaba,13,caught,Pavan,Gopal,,,,,
Rama,5,Run Out,,Raju/Ganesh,,,,,
Dinesh,7,Not Out,,,,,,,
Ajay,16,caught,Rajesh,Gopal,,2,,,,,,,,
Totals:,15,Wides,5,Noballs,,Byes,1,Leg byes,141,Total,10,Wickets,30.4,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,


FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Nadeem,5,0,0,37,2,4,5,,,,,,,
Dipal,5,0,0,26,2,3,0,,,,,,,
Mike Riley,5,0,1,15,1,2,0,,,,,,,
Pavan,8,0,0,28,3,1,0,,,,,,,
Rajesh,3,4,0,10,1,1,0,,,,,,,
Ravi,2,0,0,15,0,3,0,,,,,,,
Mandar,2,0,0,10,0,1,0,,,,,,,
