5/9/04,FCCC,vs,DSCC,40,Overs,,,,
Ground,Cottonwood Park,,,,,,,,
Toss,FCCC,,,,,,,,
Result,FCCC won by 33 runs,,,,,,,,

FCCC Batting Statistics,,,,,,,,,
Innings start:,,Innings End:,,,,,,,
Name,Runs,How Out,Bowler,Assist,Balls,Fours,Sixes,Time In,Time Out
Ravi,16,Caught,Mahesh,Suresh,24,1,,,
Nadeem,24,Caught,Mahesh,Srikanth,23,3,,,
Mike Riley,10,Caught,Rahul,Venkat,31,1,,,
Gopal,18,Caught,Max Ali,Rahul,71,1,,,
Pavan,0,LBW,Jairam,,2,,,,
Ganesh,26,Caught,Rahul,Daryl,41,,,,
Chuck,6,Caught,Vamshi,Srikanth,10,,,,
Rajesh,14,LBW,Suresh,,22,1,,,
Anant,17,Not Out,,,19,1,,,,,,,,
Mike King,1,Not Out,,,5,,,,,,,,,
Totals,18,Wides,0,Noballs,1,Byes,1,Leg byes,152,Total,8,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
45,45,64,66,96,112,119,140,,,,,,,

DSCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,NoBalls,,,,,,,
Daryl,4,0,0,35,0,8,0,,,,,,,
Mahesh,8,0,3,31,2,1,0,,,,,,,
Suresh,6,0,1,19,1,2,0,,,,,,,
Rahul,8,0,2,25,2,4,0,,,,,,,
Jairam,6,0,1,19,1,3,0,,,,,,,
Vamshi,6,0,0,24,1,0,0,,,,,,,
Max Ali,2,0,0,5,1,0,0,,,,,,,


DSCC Batting Statistics,,,,,,,,,
Innings start:,,Innings end:,,,,,,,
Name,Runs,How Out,Bowler,Assist,Balls,Fours,Sixes,Time In,Time Out
Kannan,5,Bowled,Nadeem,,8,1,0,,
Srikanth,8,Bowled,Nadeem,,12,1,0,,
Venkat,3,Caught,Nadeem,Anant,14,,,,
Vamshi,6,Bowled,Nadeem,,10,,,,
Rahul,9,Run Out,,Chuck/Ganesh,49,,,,
Suresh,23,Caught,Gopal,Ganesh,50,,,,
Daryl,1,LBW,Mike King,,3,,,,
Mahesh,26,Not Out,,,34,2,,,
Max Ali,3,Run Out,,Pavan,8,,,,
Jairam,1,Caught,Pavan,Ganesh,4,,,,
Roby,4,Bowled,Pavan,,4,,,,
Totals,27,Wides,1,Noballs,1,Byes,0,Leg byes,119,Total,10,Wickets,34.4,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,


FCCC Bowling Statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,NoBalls,,,,,,,
Nadeem,8,0,1,23,4,6,0,,,,,,,
Pavan,6,4,0,29,2,1,1,,,,,,,
Mike Riley,6,0,0,12,0,2,0,,,,,,,
Rajesh,5,0,2,6,0,3,0,,,,,,,
Gopal,6,0,0,33,1,14,0,,,,,,,
Mike King,3,0,0,16,1,2,0,,,,,,,
