6/26/2004,CCCC-Gold,Vs,CSUCC,40,Overs,,,,
Ground,Louisville Rec Center,,,,,,,,
Toss,Gold,,,,,,,,
Result,Gold won by 130 runs,,,,,,,,
Man Of The Match,Rajesh Mosur,,,,,,,,

GOLD batting statistics,,,,,,,,,
Innings start:10:25,,Innings End:,13:45,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Pradeep,28,Bowled,Sarvanan,,27,2,,10:25,11:25
Mosur,106,Not Out,,,125,6,,10:25,1:45
Solanki,8,Run Out,,,18,,,11:25,12:00
Swadeep,0,LBW,Phani,,2, ,,12:00,12:01
Arvind,23,LBW,Ninad,,20,2,2,12:01,12:31
Shaukat,45,Caught,Arvind,Sarvanan,32,6,1,12:31,1:20
Govind,42,Not Out,,,17,2,2,1:20,1:45
Jarrar, ,DNB,,,,,,,,,,,,
Sam, ,DNB,,,,,,,,,,,,
Rohit, ,DNB,,,,,,,,,,,,
Naim, ,DNB,,,,,,,,,,,,
Totals:,37,Wides,4,Noballs,5,Byes,2,Leg byes,298,Total,5,Wickets,40,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
71,107,107,151,238,,,,,,,,,,

CSUCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Kishore,8,0,1,64,0,1,1,,,,,,,
Ninad,5,0,0,44,1,5,1,,,,,,,
Arvind,8,0,0,48,1,1,0,,,,,,,
Sarvanan,8,0,0,57,1,18,0,,,,,,,
Phani,8,0,0,47,1,8,3,,
Vaibhav,3,0,0,23,0,4,0,,


CSUCC batting statistics,,,,,,,,,
Innings start:,10:15,Innings End:,1:55,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Arvind,1,caught,Jarrar,Naim,5,,,2:17,2:25
Phani,34,caught,Swadeep,Govind,55,4,,2:17,3:45
Vaibhav,17,Bowled,Solanki,,36,1,,2:25,3:25
Kishore,59,caught,Rohit,Mosur,,9,,3:25,4:25
Priyank,0,LBW,Swadeep,,, , ,3:45,3:46
Ninad,15,caught,Sam,Govind,, ,1,3:46,4:06
Sarvana,0,Run Out, ,Govind,,,,4:06,4:15
Sarvanan,0,Bowled,Sam,,,,,4:15,4:16
Satish,5,Not Out, ,,, ,,4:16,4:27
Jay,2,Bowled,Rohit,,,,,4:25,4:27,,,,,
 , , , , ,,,, , ,,,,,
Totals:,15,Wides,2,Noballs,5,Byes,10,Leg byes,168,Total,9,Wickets,29.3,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
3,54,91,91,124,139, , ,168, ,,,,,

GOLD Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Jarrar,4,0,0,9,1,2,0,,,,,,,
Govind,5,0,1,16,0,2,0,,,,,,,
Rohit,3,3,0,15,2,1,2,,,,,,,
Solanki,3,0,0,26,1,0,0,,,,,,,
Sam,8,0,0,47,2,5,0,,,,,,,
Swadeep,4,0,0,23,2,0,0,,,,,,,
Naim,2,0,0,16,0,1,1
