6/12/2004,DSCC,Vs,OWCC,40,Overs,,,,
Ground,Memorial Park,,,,,,,,
Toss,OWCC,,,,,,,,
Result,OWCC won by 80 runs,,,,,,,,

OWCC batting statistics,,,,,,,,,
Innings start: 10:18,,Innings End: 1:22,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Kalpesh,34,caught,Jayram,Max,41,1,2,10:18,11:10
Mukesh,26,Bowled,Suresh,,58,2,,10:18,11:50
Moe,29,caught,Rahul,Rahul,30,3,1,11:10,12:04
Mike,24,Runout,,,29,2,,11:50,12:25
Kervyn,26,LBW,Mahesh,,22,1,2,12:04,12:35
Ashok,7,Runout,,,9,,,12:25,12:32
Vicky,21,Runout,,,12,2,1,12:32,12:45
Raymond,2,Bowled,Mahesh,,5,,,12:35,12:49
Abhijit,8,not out,,,11,,,12:45,,,,,,
Abhay,3,Runout,,,5,,,12:49,1:01,,,,,
Andy,3,not out,,,2,,,1:01,,,,,,
Totals:,17,Wides,1,Noballs,2,Byes,4,Leg byes,207,Total,9,Wickets,40,Overs
Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
52,88,101,153,156,170,193,196,202,,,,,,

DSCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Mahesh,8,0,0,39,2,0,0,,,,,,,
Suresh,8,0,0,32,1,5,0,,,,,,,
Jayram,8,0,0,42,1,4,1,,,,,,,
Max Ali,4,0,0,17,0,0,0,,,,,,,
Vamshi,6,0,0,28,0,2,0,,,,,,,
Shoaib,2,0,0,14,0,0,0,,,,,,,
Rahul,3,0,0,20,1,3,0,,
Imran,1,0,0,9,0,3,0,,

DSCC batting statistics,,,,,,,,,
Innings start: 2:05,,Innings End: 5:02,,,,,,,
Name,Runs,How out,Bowler,Assist,Balls,Fours ,Sixes,Time in,Time out
Rahul,21,caught,Abhay,Vicky,32,,,,
Max Ali,16,caught,Kervyn,Kalpesh,16,1,,,
Ansari,1,LBW,Moe,, ,,,,
Vamshi,1,Bowled,Moe,,,,,,
Mahesh,2,LBW,Ashok,,,,,,
Jayram,4,caught,Ashok,Mukesh,,1,,,
Srikant,0,Bowled,Ashok,,,,,,
Imran,6,Stumped,Andy,Kalpesh,17,,,,
Kannan,23,caught,Andy,Abhay,36,,,,
Suresh,29,Bowled,Mike,,26,,1,,
Shoaib,1,Not Out,,,10,,,,,,,,,
Totals:,20,Wides,1,Noballs,,Byes,2,Leg byes,127,Total,10,Wickets,36.1,Overs

Fall of wickets,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
28,39,42,46,51,56,62,80,122,127,,,,,

OWCC Bowling statistics,,,,,,,,,,,,,,
Name,Overs,Partover,Maidens,Runs,Wickets,Wides,Noballs,,,,,,,
Mike,7,0,0,31,1,2,0,,,,,,,
Kervyn,5,0,0,14,1,2,0,,,,,,,
Moe,7,0,0,24,2,10,0,,,,,,,
Ashok,7,0,3,14,3,4,0,,,,,,,
Abhay,3,0,0,13,1,0,0,,,,,,,
Andy,5,1,0,21,2,1,0,,,,,,,
Raymond,2,0,0,8,0,1,0,,,,,,,
